Units,scen_policy,input,year,order,diff,region
EJ,CP,Afr_MidE pipeline,2030,1,0.27668799999999993,ALL_EU
EJ,CP,EUR pipeline,2030,1,1.2750812639,ALL_EU
EJ,CP,Gas production,2030,1,0.27680164700000004,ALL_EU
EJ,CP,LNG,2030,1,0.224782773,ALL_EU
EJ,CP,Low-carbon,2030,2,0.10522578194795251,ALL_EU
EJ,CP,Other fossil,2030,2,0.26120239000000023,ALL_EU
EJ,CP,PE decrease,2030,3,0.10694349269669123,ALL_EU
EJ,CP,RUS gas loss,2030,4,2.5267253485446513,ALL_EU
EJ,CP,order_1_sum,2030,2,2.0533536838999997,ALL_EU
EJ,CP,order_2_sum,2030,3,2.419781855847953,ALL_EU
EJ,NDC,Afr_MidE pipeline,2030,1,0.286447,ALL_EU
EJ,NDC,EUR pipeline,2030,1,1.2556557195,ALL_EU
EJ,NDC,Gas production,2030,1,0.25684321199999993,ALL_EU
EJ,NDC,LNG,2030,1,0.23050334700000003,ALL_EU
EJ,NDC,Low-carbon,2030,2,0.11052920060816485,ALL_EU
EJ,NDC,Other fossil,2030,2,0.2680825200000009,ALL_EU
EJ,NDC,PE decrease,2030,3,0.07286274089183253,ALL_EU
EJ,NDC,RUS gas loss,2030,4,2.4809237399999997,ALL_EU
EJ,NDC,order_1_sum,2030,2,2.0294492785,ALL_EU
EJ,NDC,order_2_sum,2030,3,2.408060999108166,ALL_EU
EJ,CP,Gas production,2030,1,0.05761424699999999,EU_Cent
EJ,CP,EUR pipeline,2030,1,0.41465295999999996,EU_Cent
EJ,CP,LNG,2030,1,0.032397194000000004,EU_Cent
EJ,CP,RUS gas loss,2030,4,0.574875299804131,EU_Cent
EJ,CP,EUR pipeline,2030,1,0.0914431469,EU_NE
EJ,CP,LNG,2030,1,0.012813298999999998,EU_NE
EJ,CP,RUS gas loss,2030,4,0.11297064999999999,EU_NE
EJ,CP,Gas production,2030,1,0.13873960000000002,EU_NW
EJ,CP,EUR pipeline,2030,1,0.6379059,EU_NW
EJ,CP,LNG,2030,1,0.07564929999999999,EU_NW
EJ,CP,RUS gas loss,2030,4,1.053861999214648,EU_NW
EJ,CP,Gas production,2030,1,0.07156620000000002,EU_SE
EJ,CP,EUR pipeline,2030,1,0.084616457,EU_SE
EJ,CP,LNG,2030,1,0.01367728,EU_SE
EJ,CP,RUS gas loss,2030,4,0.19516439986707002,EU_SE
EJ,CP,Gas production,2030,1,0.014544599999999998,EU_SW
EJ,CP,Afr_MidE pipeline,2030,1,0.27668799999999993,EU_SW
EJ,CP,EUR pipeline,2030,1,0.07506679999999999,EU_SW
EJ,CP,LNG,2030,1,0.0864366,EU_SW
EJ,CP,RUS gas loss,2030,4,0.589852999658802,EU_SW
EJ,CP,Gas production,2030,1,-0.005662999999999974,UK+
EJ,CP,EUR pipeline,2030,1,-0.02860400000000002,UK+
EJ,CP,LNG,2030,1,0.003809099999999996,UK+
EJ,NDC,Gas production,2030,1,0.058636612000000005,EU_Cent
EJ,NDC,EUR pipeline,2030,1,0.40231207999999996,EU_Cent
EJ,NDC,LNG,2030,1,0.032904918,EU_Cent
EJ,NDC,RUS gas loss,2030,4,0.5450806,EU_Cent
EJ,NDC,EUR pipeline,2030,1,0.08905705050000001,EU_NE
EJ,NDC,LNG,2030,1,0.012582249000000002,EU_NE
EJ,NDC,RUS gas loss,2030,4,0.10738004000000001,EU_NE
EJ,NDC,Gas production,2030,1,0.13244260000000002,EU_NW
